A̱o,Computadora,Internet,television,Cable,telefonos
2001,11.77720006,6.212086792,91.89707814,13.52998297,40.33151479
2002,15.2075733,7.455098424,93.59241289,15.37580413,45.35801442
2004,18.00172337,8.692414641,91.6894879,19.33039885,24.74076355
2005,18.55893197,9.002205917,92.81649613,19.50841625,22.26408547
2006,20.62296547,10.13240283,93.36083365,21.04556859,19.45867474
2007,22.12308755,12.00453497,93.29713252,24.69797144,18.55963138
2008,25.65278224,13.50430403,93.17065266,23.90189503,14.47643525
2009,26.75701632,18.36090593,95.09187703,27.20077865,9.967356314
2010,29.79110016,22.18907914,94.66661751,26.66627743,9.248786077
2011,30.03632719,23.26568212,94.70606539,30.35304883,8.077818659
2012,32.19471708,25.96884565,94.94606051,32.23918345,7.260613887
2013,35.79285774,30.74345946,94.87688699,36.73010995,6.403895282
2014,38.29201478,34.39273866,94.87062991,38.10954496,21.59640634
2015,44.91111992,39.17773854,93.52325159,43.74524269,4.170071652
